Confirmed,Date,Deaths,Location,Recovered,_id
2,2020-01-22T18:30:00.000Z,0,Yunnan,0,621c51e5c4f24f87f62d543d
27,2020-01-22T18:30:00.000Z,0,Zhejiang,0,621c51e5c4f24f87f62d543e
549,2020-01-23T18:30:00.000Z,24,Hubei,31,621c51e5c4f24f87f62d544a
53,2020-01-23T18:30:00.000Z,0,Guangdong,2,621c51e5c4f24f87f62d544b
43,2020-01-23T18:30:00.000Z,0,Zhejiang,1,621c51e5c4f24f87f62d544c
36,2020-01-23T18:30:00.000Z,0,Beijing,1,621c51e5c4f24f87f62d544d
27,2020-01-23T18:30:00.000Z,0,Chongqing,0,621c51e5c4f24f87f62d544e
24,2020-01-23T18:30:00.000Z,0,Hunan,0,621c51e5c4f24f87f62d544f
23,2020-01-23T18:30:00.000Z,0,Guangxi,0,621c51e5c4f24f87f62d5450
20,2020-01-23T18:30:00.000Z,0,Shanghai,1,621c51e5c4f24f87f62d5451
18,2020-01-23T18:30:00.000Z,0,Jiangxi,0,621c51e5c4f24f87f62d5452
15,2020-01-23T18:30:00.000Z,0,Sichuan,0,621c51e5c4f24f87f62d5453
15,2020-01-23T18:30:00.000Z,0,Shandong,0,621c51e5c4f24f87f62d5454
15,2020-01-23T18:30:00.000Z,0,Anhui,0,621c51e5c4f24f87f62d5455
10,2020-01-23T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d5456
9,2020-01-23T18:30:00.000Z,0,Henan,0,621c51e5c4f24f87f62d5457
9,2020-01-23T18:30:00.000Z,0,Jiangsu,0,621c51e5c4f24f87f62d5458
8,2020-01-23T18:30:00.000Z,0,Hainan,0,621c51e5c4f24f87f62d5459
8,2020-01-23T18:30:00.000Z,0,Tianjin,0,621c51e5c4f24f87f62d545a
5,2020-01-23T18:30:00.000Z,0,Yunnan,0,621c51e5c4f24f87f62d545b
5,2020-01-23T18:30:00.000Z,0,Shaanxi,0,621c51e5c4f24f87f62d545c
4,2020-01-23T18:30:00.000Z,1,Heilongjiang,0,621c51e5c4f24f87f62d545d
4,2020-01-23T18:30:00.000Z,0,Liaoning,0,621c51e5c4f24f87f62d545e
3,2020-01-23T18:30:00.000Z,0,Guizhou,0,621c51e5c4f24f87f62d545f
3,2020-01-23T18:30:00.000Z,0,Jilin,0,621c51e5c4f24f87f62d5460
2,2020-01-23T18:30:00.000Z,0,Ningxia,0,621c51e5c4f24f87f62d5462
2,2020-01-23T18:30:00.000Z,1,Hebei,0,621c51e5c4f24f87f62d5465
2,2020-01-23T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d5466
2,2020-01-23T18:30:00.000Z,0,Xinjiang,0,621c51e5c4f24f87f62d5467
1,2020-01-23T18:30:00.000Z,0,Shanxi,0,621c51e5c4f24f87f62d5468
1,2020-01-23T18:30:00.000Z,0,Inner Mongolia,0,621c51e5c4f24f87f62d5469
0,2020-01-23T18:30:00.000Z,0,Qinghai,0,621c51e5c4f24f87f62d546a
761,2020-01-24T18:30:00.000Z,40,Hubei,32,621c51e5c4f24f87f62d5473
78,2020-01-24T18:30:00.000Z,0,Guangdong,2,621c51e5c4f24f87f62d5474
62,2020-01-24T18:30:00.000Z,0,Zhejiang,1,621c51e5c4f24f87f62d5475
57,2020-01-24T18:30:00.000Z,0,Chongqing,0,621c51e5c4f24f87f62d5476
43,2020-01-24T18:30:00.000Z,0,Hunan,0,621c51e5c4f24f87f62d5477
41,2020-01-24T18:30:00.000Z,0,Beijing,2,621c51e5c4f24f87f62d5478
39,2020-01-24T18:30:00.000Z,0,Anhui,0,621c51e5c4f24f87f62d5479
33,2020-01-24T18:30:00.000Z,0,Shanghai,1,621c51e5c4f24f87f62d547a
32,2020-01-24T18:30:00.000Z,0,Henan,0,621c51e5c4f24f87f62d547b
28,2020-01-24T18:30:00.000Z,0,Sichuan,0,621c51e5c4f24f87f62d547c
27,2020-01-24T18:30:00.000Z,0,Shandong,0,621c51e5c4f24f87f62d547d
23,2020-01-24T18:30:00.000Z,0,Guangxi,0,621c51e5c4f24f87f62d547e
19,2020-01-24T18:30:00.000Z,0,Hainan,0,621c51e5c4f24f87f62d547f
18,2020-01-24T18:30:00.000Z,0,Jiangxi,0,621c51e5c4f24f87f62d5480
18,2020-01-24T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d5481
18,2020-01-24T18:30:00.000Z,0,Jiangsu,1,621c51e5c4f24f87f62d5482
17,2020-01-24T18:30:00.000Z,0,Liaoning,0,621c51e5c4f24f87f62d5483
15,2020-01-24T18:30:00.000Z,0,Shaanxi,0,621c51e5c4f24f87f62d5484
11,2020-01-24T18:30:00.000Z,0,Yunnan,0,621c51e5c4f24f87f62d5485
10,2020-01-24T18:30:00.000Z,0,Tianjin,0,621c51e5c4f24f87f62d5486
9,2020-01-24T18:30:00.000Z,1,Heilongjiang,0,621c51e5c4f24f87f62d5487
8,2020-01-24T18:30:00.000Z,1,Hebei,0,621c51e5c4f24f87f62d5488
7,2020-01-24T18:30:00.000Z,0,Inner Mongolia,0,621c51e5c4f24f87f62d5489
6,2020-01-24T18:30:00.000Z,0,Shanxi,0,621c51e5c4f24f87f62d548a
4,2020-01-24T18:30:00.000Z,0,Guizhou,0,621c51e5c4f24f87f62d548c
4,2020-01-24T18:30:00.000Z,0,Jilin,0,621c51e5c4f24f87f62d548d
4,2020-01-24T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d548e
3,2020-01-24T18:30:00.000Z,0,Ningxia,0,621c51e5c4f24f87f62d548f
3,2020-01-24T18:30:00.000Z,0,Xinjiang,0,621c51e5c4f24f87f62d5491
1,2020-01-24T18:30:00.000Z,0,Qinghai,0,621c51e5c4f24f87f62d5493
1058,2020-01-25T18:30:00.000Z,52,Hubei,42,621c51e5c4f24f87f62d549f
111,2020-01-25T18:30:00.000Z,0,Guangdong,2,621c51e5c4f24f87f62d54a0
104,2020-01-25T18:30:00.000Z,0,Zhejiang,1,621c51e5c4f24f87f62d54a1
83,2020-01-25T18:30:00.000Z,1,Henan,0,621c51e5c4f24f87f62d54a2
75,2020-01-25T18:30:00.000Z,0,Chongqing,0,621c51e5c4f24f87f62d54a3
69,2020-01-25T18:30:00.000Z,0,Hunan,0,621c51e5c4f24f87f62d54a4
68,2020-01-25T18:30:00.000Z,0,Beijing,2,621c51e5c4f24f87f62d54a5
60,2020-01-25T18:30:00.000Z,0,Anhui,0,621c51e5c4f24f87f62d54a6
46,2020-01-25T18:30:00.000Z,0,Shandong,0,621c51e5c4f24f87f62d54a7
44,2020-01-25T18:30:00.000Z,0,Sichuan,0,621c51e5c4f24f87f62d54a8
40,2020-01-25T18:30:00.000Z,1,Shanghai,1,621c51e5c4f24f87f62d54a9
36,2020-01-25T18:30:00.000Z,0,Guangxi,0,621c51e5c4f24f87f62d54aa
36,2020-01-25T18:30:00.000Z,0,Jiangxi,0,621c51e5c4f24f87f62d54ab
35,2020-01-25T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d54ac
33,2020-01-25T18:30:00.000Z,0,Jiangsu,1,621c51e5c4f24f87f62d54ad
22,2020-01-25T18:30:00.000Z,0,Hainan,0,621c51e5c4f24f87f62d54ae
22,2020-01-25T18:30:00.000Z,0,Shaanxi,0,621c51e5c4f24f87f62d54af
21,2020-01-25T18:30:00.000Z,0,Liaoning,0,621c51e5c4f24f87f62d54b0
16,2020-01-25T18:30:00.000Z,0,Yunnan,0,621c51e5c4f24f87f62d54b1
15,2020-01-25T18:30:00.000Z,1,Heilongjiang,0,621c51e5c4f24f87f62d54b2
14,2020-01-25T18:30:00.000Z,0,Tianjin,0,621c51e5c4f24f87f62d54b3
13,2020-01-25T18:30:00.000Z,1,Hebei,0,621c51e5c4f24f87f62d54b4
9,2020-01-25T18:30:00.000Z,0,Shanxi,0,621c51e5c4f24f87f62d54b5
7,2020-01-25T18:30:00.000Z,0,Inner Mongolia,0,621c51e5c4f24f87f62d54b7
7,2020-01-25T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d54b8
5,2020-01-25T18:30:00.000Z,0,Guizhou,0,621c51e5c4f24f87f62d54b9
4,2020-01-25T18:30:00.000Z,0,Ningxia,0,621c51e5c4f24f87f62d54bb
4,2020-01-25T18:30:00.000Z,0,Jilin,0,621c51e5c4f24f87f62d54bc
4,2020-01-25T18:30:00.000Z,0,Xinjiang,0,621c51e5c4f24f87f62d54be
1,2020-01-25T18:30:00.000Z,0,Qinghai,0,621c51e5c4f24f87f62d54bf
1423,2020-01-26T18:30:00.000Z,76,Hubei,45,621c51e5c4f24f87f62d54ce
151,2020-01-26T18:30:00.000Z,0,Guangdong,4,621c51e5c4f24f87f62d54cf
128,2020-01-26T18:30:00.000Z,0,Zhejiang,1,621c51e5c4f24f87f62d54d0
128,2020-01-26T18:30:00.000Z,1,Henan,0,621c51e5c4f24f87f62d54d1
110,2020-01-26T18:30:00.000Z,0,Chongqing,0,621c51e5c4f24f87f62d54d2
100,2020-01-26T18:30:00.000Z,0,Hunan,0,621c51e5c4f24f87f62d54d3
80,2020-01-26T18:30:00.000Z,1,Beijing,2,621c51e5c4f24f87f62d54d4
75,2020-01-26T18:30:00.000Z,0,Shandong,0,621c51e5c4f24f87f62d54d5
72,2020-01-26T18:30:00.000Z,0,Jiangxi,2,621c51e5c4f24f87f62d54d6
70,2020-01-26T18:30:00.000Z,0,Anhui,0,621c51e5c4f24f87f62d54d7
69,2020-01-26T18:30:00.000Z,0,Sichuan,0,621c51e5c4f24f87f62d54d8
59,2020-01-26T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d54d9
53,2020-01-26T18:30:00.000Z,1,Shanghai,3,621c51e5c4f24f87f62d54da
47,2020-01-26T18:30:00.000Z,0,Jiangsu,1,621c51e5c4f24f87f62d54db
46,2020-01-26T18:30:00.000Z,0,Guangxi,0,621c51e5c4f24f87f62d54dc
35,2020-01-26T18:30:00.000Z,0,Shaanxi,0,621c51e5c4f24f87f62d54dd
33,2020-01-26T18:30:00.000Z,1,Hainan,0,621c51e5c4f24f87f62d54de
27,2020-01-26T18:30:00.000Z,0,Liaoning,0,621c51e5c4f24f87f62d54df
26,2020-01-26T18:30:00.000Z,0,Yunnan,0,621c51e5c4f24f87f62d54e0
23,2020-01-26T18:30:00.000Z,0,Tianjin,0,621c51e5c4f24f87f62d54e1
21,2020-01-26T18:30:00.000Z,1,Heilongjiang,0,621c51e5c4f24f87f62d54e2
18,2020-01-26T18:30:00.000Z,1,Hebei,0,621c51e5c4f24f87f62d54e3
14,2020-01-26T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d54e4
13,2020-01-26T18:30:00.000Z,0,Shanxi,0,621c51e5c4f24f87f62d54e5
11,2020-01-26T18:30:00.000Z,0,Inner Mongolia,0,621c51e5c4f24f87f62d54e6
7,2020-01-26T18:30:00.000Z,0,Guizhou,0,621c51e5c4f24f87f62d54e8
7,2020-01-26T18:30:00.000Z,0,Ningxia,0,621c51e5c4f24f87f62d54e9
6,2020-01-26T18:30:00.000Z,0,Jilin,0,621c51e5c4f24f87f62d54ea
6,2020-01-26T18:30:00.000Z,0,Qinghai,0,621c51e5c4f24f87f62d54ec
5,2020-01-26T18:30:00.000Z,0,Xinjiang,0,621c51e5c4f24f87f62d54ee
3554,2020-01-27T18:30:00.000Z,125,Hubei,80,621c51e5c4f24f87f62d5501
207,2020-01-27T18:30:00.000Z,0,Guangdong,4,621c51e5c4f24f87f62d5502
173,2020-01-27T18:30:00.000Z,0,Zhejiang,3,621c51e5c4f24f87f62d5503
168,2020-01-27T18:30:00.000Z,1,Henan,0,621c51e5c4f24f87f62d5504
143,2020-01-27T18:30:00.000Z,0,Hunan,0,621c51e5c4f24f87f62d5505
132,2020-01-27T18:30:00.000Z,0,Chongqing,0,621c51e5c4f24f87f62d5506
109,2020-01-27T18:30:00.000Z,0,Jiangxi,3,621c51e5c4f24f87f62d5507
